,0
0,0.0
1,0.0
2,0.00023214187396223434
3,0.0004534669292022384
4,0.0007245274022878298
5,0.00019117504589920037
6,0.0005438665979014573
7,-7.325643660524355e-05
8,9.069459410007676e-05
9,0.0005568602086199074
10,-5.5358414223703224e-05
11,6.626921089630321e-05
12,1.8957672088590173e-05
13,-1.564312025909657e-05
14,0.0004454322674255636
15,0.0007897485209193865
16,0.0006119177987895508
17,0.00036106519441876856
18,0.00014318097299723754
19,-0.0003088284979094262
20,0.00018280622825038543
21,0.00026185060234052744
22,0.00033399215453346385
23,0.0003154205056568425
24,0.0008082597382510926
25,0.001036842076965821
26,0.0013032483996419937
27,0.0017381562084366523
28,0.001627385248397222
29,0.001434225659239142
30,0.0013922357974772246
31,0.002448334340682338
32,0.0030418572467691167
33,0.003096570841491676
34,0.0029863620463394334
35,0.0034292642000842044
36,0.0031907624211804796
37,0.003185387797020724
38,0.0033281802491343044
39,0.0033047149407040488
40,0.003634875094591222
41,0.0037188762993817658
42,0.0033139048863370735
43,0.0034998950166820328
44,0.0032171466644547097
45,0.002809143731230683
46,0.0023859072719619174
47,0.0024483648988833768
48,0.002620432552427784
49,0.0024658250740463806
50,0.0021371194598520343
51,0.0026328193496336296
52,0.002231510398995406
53,0.002527295167465348
54,0.0023210799144959865
55,0.002238754880888542
56,0.002280833714627249
57,0.0027047713566957015
58,0.0020661623184495335
59,0.0017620335340866721
60,0.0017170554637253438
61,0.0021520461610247065
62,0.0019981803477272255
63,0.0019617137463475453
64,0.002142365416456608
65,0.0022050002736023343
66,0.0022693261484337214
67,0.0018317622921275568
68,0.0016468771448040727
69,0.0009806220622508278
70,0.0004254192989549543
71,0.0005853561817368367
72,0.00044325816758451113
73,0.0003692823573920066
74,0.0006570096786216352
75,0.00038810334080127706
76,0.0008767914205457172
77,0.00118536984932151
78,0.0008892064358002908
79,0.0004448417150236839
80,0.0006571096991758848
81,0.0008213410521292279
82,0.0009452603980584644
83,0.0010117700953207933
84,0.0007171190256971422
85,0.0001485621868993611
86,0.0004437502332840385
87,-7.311472207888474e-05
88,-0.00047793877934947766
89,-0.0007022509970438163
90,-0.00109872317988653
91,-0.001261096868987596
92,-0.0011730863629505154
93,-0.0012908376414391127
94,-0.0012627824992888187
95,-0.0010286468518352597
96,-0.0009391572020549695
97,-0.001015063325151948
98,-0.0011181481914424622
99,-0.0012451936713686396
100,-0.0014866147128534029
101,-0.0014134291442459634
102,-0.001123848192423875
103,-0.001233972065631941
104,-0.0010350307425809795
105,-0.0005973635199462926
106,-0.00018600127846755737
107,-0.0003760222785370305
108,-0.0004951770434182979
109,-0.0004870186354018119
110,-0.000751220610934374
111,-0.0007417379970652306
112,-0.00022051407766435866
113,-0.0003583619970914029
114,-0.0009102815335374087
115,-0.0009022729561150673
116,-0.0008736080112626099
117,-0.0014606214478257926
118,-0.0018906999402515136
119,-0.0013567642211175686
120,-0.0010827002227091253
121,-0.0010499912787472474
122,-0.0010366826435764765
123,-0.0007850606883335819
124,-0.0010664874223077782
125,-0.0009538381002466955
126,-0.0007399584797950085
127,-0.0008004850307150189
128,-0.0011837292185749252
129,-0.0009010243691653492
130,-0.0010945288750978032
131,-0.0015750247653899883
132,-0.0017957288601465745
133,-0.00176817123598536
134,-0.0019881721789463645
135,-0.0016356912757277515
136,-0.0011652955754856507
137,-0.0006893286315954547
138,-0.0005857614665235498
139,-0.0009529166968721647
140,-0.0008412701922926095
141,-0.0006337097817367629
142,-0.0003910389377989159
143,-0.00021612252294030425
144,-9.775224411476197e-05
145,-5.8583320392657695e-05
146,0.0005456400345753904
147,0.000232757898511746
148,-4.295581371282738e-05
149,-0.00026241693297415655
150,-0.00030455425941149355
151,-6.321583020665433e-06
152,0.0004233757648755812
153,9.092141157434534e-05
154,-0.00020550355336077888
155,0.0003246894131108697
156,0.00045936904164685014
157,0.000582129384285321
158,0.0007041036807753054
159,0.00040040239708490365
160,0.0007539233895987546
161,0.0003623534856126749
162,0.00036179459295914926
163,0.0007758282188014159
164,0.0011971590801048955
165,0.00042400431938902777
166,0.0006553515098198908
167,0.001131735888613037
168,0.0005732676105623473
169,0.0003242464888500293
170,0.0004704330590991182
171,0.0007825898009976833
172,0.0008004767404750769
173,0.0008477553581268601
174,0.0008723582632801463
175,0.0009203418433440566
176,0.0005327172275075323
177,0.0007893386541711537
178,0.00048594715393122934
179,0.00040927697245615106
180,0.0006176835898429334
181,0.0006557835593059488
182,0.00031014168217181984
183,6.003416440778506e-05
184,0.00012599808794719024
185,0.0002626677362963971
186,-4.052984761683591e-05
187,0.00046984295812047233
188,0.0009362708864572594
189,0.0011305618767195463
190,0.0011461462294608917
191,0.0011342043401503254
192,0.0009634928515150664
193,0.0007481273722200938
194,0.0008431721011587867
195,0.0009397993990399591
196,0.001072357079674209
197,0.001038589467224062
198,0.001237034313884912
199,0.001013070461136229
200,0.001291358570011495
201,0.001819263140516674
202,0.002064353510723582
203,0.0016794811765370081
204,0.00134648863300497
205,0.0016102175959495232
206,0.0007841076835606165
207,0.0008190051407923173
208,0.0002544656167198982
209,-0.0005012942216467856
210,-0.00016162669696438096
211,0.0004024507162457465
212,0.000494063053660522
213,0.00043958126048996546
214,-3.461797265308397e-05
215,0.00021705069318324924
216,0.000330003380592561
217,-3.558377777791808e-05
218,-6.0459589363054086e-05
219,-8.727343414300116e-06
220,-6.958845424129716e-05
221,-0.0003272337149359901
222,-0.0006652374411050305
223,-0.0009676295971308198
224,-0.0007944577334480173
225,-0.0007949817869420885
226,-0.0012475788741313236
227,-0.0011261715292798225
228,-0.0009221673094792803
229,-0.0008603659786528057
230,-0.0009738392498195012
231,-0.0006771458721452816
232,-0.0009140461878357593
233,-0.001025467819048329
234,-0.0011803070965078646
235,-0.0009690969913988286
236,-0.00035517102153666844
237,-7.838678608698875e-05
238,-0.00020224045211306537
239,-0.00016103012790519522
240,-8.636454319507077e-05
241,-0.0002552291396726106
242,-0.0002157948074366656
243,-0.0008515742697498925
244,-0.0008851045095470492
245,-0.0007825078161472908
246,-0.00076650971096939
247,-0.00024816205726974213
248,0.0006476538014396552
249,0.0007317938729225373
250,0.0006812184447066201
251,0.0005654202836601911
252,0.0008505104885402164
253,0.0012777622790643157
254,0.0015732368919761678
255,0.001647308540263772
256,0.002230041777762778
257,0.0018295760308701917
258,0.0019575519897416373
259,0.0019316849604081724
260,0.0015287919238619716
261,0.0014825886284907004
262,0.0018113359077971947
263,0.0015791233454046391
264,0.0017463488781342903
265,0.001938943929123974
266,0.0015067455612650877
267,0.0016622846796781952
268,0.001599569447354278
269,0.001432518387644026
270,0.0016821705911750535
271,0.002146252226351726
272,0.0018534949652323478
273,0.001958592970785229
274,0.002126292687948673
275,0.002722708066291146
276,0.002955899679476182
277,0.002632958050368115
278,0.00277115519883655
279,0.002839221642889707
